id1,id2,lat,long,elev
15,tvsf_15,63.3797722438456,-142.461202994005,906.9345703125
16,tvsf_16,63.3884454716333,-142.461202994005,823.367065429688
20,tvsf_20,63.3797722438456,-142.469876221792,812.25341796875
21,tvsf_21,63.3884454716333,-142.469876221792,763.511901855469
22,tvsf_22,63.397118699421,-142.469876221792,776.074829101562
26,tvsf_26,63.3884454716333,-142.47854944958,753.752014160156
27,tvsf_27,63.397118699421,-142.47854944958,710.062316894531
36,tvsf_36,63.3884454716333,-142.495895905156,635.531005859375
37,tvsf_37,63.397118699421,-142.495895905156,744.940124511719
42,tvsf_42,63.397118699421,-142.504569132943,743.401245117188
43,tvsf_43,63.4057919272087,-142.504569132943,976.32666015625
47,tvsf_47,63.397118699421,-142.513242360731,811.50390625
48,tvsf_48,63.4057919272087,-142.513242360731,968.832275390625
52,tvsf_52,63.397118699421,-142.521915588519,774.479431152344
57,tvsf_57,63.397118699421,-142.530588816307,780.967224121094
63,tvsf_63,63.397118699421,-142.539262044094,780.888061523438
64,tvsf_64,63.4057919272087,-142.539262044094,941.102416992188
65,tvsf_65,63.4144651549964,-142.539262044094,856.761413574219
70,tvsf_70,63.397118699421,-142.547935271882,700.664428710938
71,tvsf_71,63.4057919272087,-142.547935271882,915.808410644531
73,tvsf_73,63.4231383827841,-142.547935271882,908.248168945312
74,tvsf_74,63.4318116105719,-142.547935271882,846.206970214844
77,tvsf_77,63.397118699421,-142.55660849967,834.668151855469
78,tvsf_78,63.4057919272087,-142.55660849967,899.155029296875
79,tvsf_79,63.4144651549964,-142.55660849967,717.56494140625
81,tvsf_81,63.4318116105719,-142.55660849967,907.870422363281
84,tvsf_84,63.397118699421,-142.565281727457,743.469116210938
85,tvsf_85,63.4057919272087,-142.565281727457,867.913391113281
86,tvsf_86,63.4144651549964,-142.565281727457,672.940673828125
91,tvsf_91,63.397118699421,-142.573954955245,859.7353515625
93,tvsf_93,63.4144651549964,-142.573954955245,694.940185546875
94,tvsf_94,63.4231383827841,-142.573954955245,655.116516113281
99,tvsf_99,63.4057919272087,-142.582628183033,741.178283691406
102,tvsf_102,63.4318116105719,-142.582628183033,837.451293945312
104,tvsf_104,63.3884454716333,-142.591301410821,740.178344726562
106,tvsf_106,63.4057919272087,-142.591301410821,630.99951171875
108,tvsf_108,63.4231383827841,-142.591301410821,785.868835449219
109,tvsf_109,63.4318116105719,-142.591301410821,864.203125
111,tvsf_111,63.3884454716333,-142.599974638608,677.760498046875
116,tvsf_116,63.4318116105719,-142.599974638608,957.639709472656
118,tvsf_118,63.3884454716333,-142.608647866396,646.025573730469
122,tvsf_122,63.4231383827841,-142.608647866396,863.033386230469
127,tvsf_127,63.4057919272087,-142.617321094184,704.637634277344
163,tvsf_163,63.4144651549964,-142.652014005335,725.214721679688
201,tvsf_201,63.397118699421,-142.686706916485,651.800720214844
211,tvsf_211,63.397118699421,-142.695380144273,701.731750488281
221,tvsf_221,63.397118699421,-142.704053372061,687.405334472656
231,tvsf_231,63.397118699421,-142.712726599849,604.486755371094
232,tvsf_232,63.4057919272087,-142.712726599849,615.211547851562
233,tvsf_233,63.4144651549964,-142.712726599849,771.132080078125
235,tvsf_235,63.4318116105719,-142.712726599849,656.855895996094
237,tvsf_237,63.4491580661473,-142.712726599849,735.648742675781
242,tvsf_242,63.4057919272087,-142.721399827636,651.5419921875
245,tvsf_245,63.4318116105719,-142.721399827636,649.937377929688
247,tvsf_247,63.4491580661473,-142.721399827636,792.550903320312
252,tvsf_252,63.4057919272087,-142.730073055424,692.277221679688
253,tvsf_253,63.4144651549964,-142.730073055424,816.659790039062
254,tvsf_254,63.4231383827841,-142.730073055424,709.894165039062
257,tvsf_257,63.4491580661473,-142.730073055424,768.581848144531
260,tvsf_260,63.3884454716333,-142.738746283212,598.656921386719
262,tvsf_262,63.4057919272087,-142.738746283212,655.521728515625
263,tvsf_263,63.4144651549964,-142.738746283212,784.239318847656
267,tvsf_267,63.4491580661473,-142.738746283212,670.096496582031
272,tvsf_272,63.4057919272087,-142.747419510999,713.344604492188
273,tvsf_273,63.4144651549964,-142.747419510999,703.407348632812
275,tvsf_275,63.4318116105719,-142.747419510999,632.123718261719
277,tvsf_277,63.4491580661473,-142.747419510999,576.402099609375
289,tvsf_289,63.3797722438456,-142.764765966575,538.30517578125
295,tvsf_295,63.4318116105719,-142.764765966575,614.33984375
299,tvsf_299,63.3797722438456,-142.773439194363,550.466552734375
303,tvsf_303,63.4144651549964,-142.773439194363,654.449462890625
323,tvsf_323,63.4144651549964,-142.790785649938,671.595153808594
327,tvsf_327,63.4491580661473,-142.790785649938,763.891052246094
332,tvsf_332,63.4057919272087,-142.799458877726,764.5
341,tvsf_341,63.397118699421,-142.808132105513,667.504577636719
342,tvsf_342,63.4057919272087,-142.808132105513,740.977294921875
343,tvsf_343,63.4144651549964,-142.808132105513,584.025573730469
346,tvsf_346,63.4404848383596,-142.808132105513,704.007263183594
353,tvsf_353,63.4144651549964,-142.816805333301,544.459045410156
356,tvsf_356,63.4404848383596,-142.816805333301,679.399108886719
359,tvsf_359,63.4751777495104,-142.816805333301,873.048645019531
361,tvsf_361,63.3797722438456,-142.825478561089,491.175415039062
368,tvsf_368,63.4404848383596,-142.825478561089,602.457458496094
369,tvsf_369,63.4491580661473,-142.825478561089,767.939392089844
372,tvsf_372,63.4751777495104,-142.825478561089,930.886108398438
376,tvsf_376,63.3797722438456,-142.834151788877,504.448181152344
384,tvsf_384,63.4491580661473,-142.834151788877,781.641662597656
387,tvsf_387,63.4751777495104,-142.834151788877,891.450805664062
391,tvsf_391,63.3797722438456,-142.842825016664,503.0966796875
392,tvsf_392,63.3884454716333,-142.842825016664,496.909332275391
398,tvsf_398,63.4404848383596,-142.842825016664,713.968688964844
400,tvsf_400,63.457831293935,-142.842825016664,739.354919433594
